Trainer: 2026-04-16 04:52:16,643 [INFO] use_for_loop=False
Trainer: 2026-04-16 04:52:16,671 [INFO] Start to train for 1000 iterations.
Trainer: 2026-04-16 04:58:02,226 [INFO] Iter=910, size=128, max=733.6274, avg=701.7596, min=370.9173, std=51.5386
Trainer: 2026-04-16 04:58:05,679 [INFO] Iter=920, size=128, max=571.4166, avg=547.9003, min=357.8755, std=30.4421
Trainer: 2026-04-16 04:58:09,043 [INFO] Iter=930, size=128, max=682.4470, avg=660.9120, min=503.7184, std=25.4978
Trainer: 2026-04-16 04:58:12,418 [INFO] Iter=940, size=128, max=674.4411, avg=654.8457, min=537.5218, std=19.2510
Trainer: 2026-04-16 04:58:16,963 [INFO] Iter=950, size=128, max=579.8425, avg=564.6538, min=419.5077, std=20.4351
Trainer: 2026-04-16 04:58:16,994 [INFO] [TEST] Iter=950, #tests=32, max=944.0222, avg=557.5814, min=-0.0028, std=429.7239
Trainer: 2026-04-16 04:58:23,633 [INFO] Iter=960, size=128, max=619.0056, avg=592.4601, min=462.3954, std=30.2094
Trainer: 2026-04-16 04:58:27,694 [INFO] Iter=970, size=128, max=920.0120, avg=889.7261, min=735.5674, std=28.1284
Trainer: 2026-04-16 04:58:31,545 [INFO] Iter=980, size=128, max=458.9821, avg=439.5325, min=319.6185, std=23.9160
Trainer: 2026-04-16 04:58:34,970 [INFO] Iter=990, size=128, max=688.6240, avg=655.9028, min=409.5063, std=43.1965
Trainer: 2026-04-16 04:58:37,976 [INFO] [TEST] Iter=1000, #tests=32, max=958.0035, avg=594.3074, min=0.0033, std=428.8459
Trainer: 2026-04-16 04:58:37,978 [INFO] Training done, best_score=668.4764
